Institución,Título de la tesis,Nombre del tesista,Grado,Nombre del asesor,Resumen,Año
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo lineal mixto de clases latentes con respuesta ordinal y su aplicación en la medición de la religiosidad,"Renteria Sacha, Ivonne Mireille",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","Latent class linear mixed models developed by Proust-Lima, Philipps y Liquet (2017) are useful to analyze the dynamic aspect and the multidimensional nature of a phenomenon of interest in populations not necessarily homogeneous. These allow to identify the possible latent classes in the population under study and how a set of covariates affects the response variable of interest in each class. In this thesis, the latent class linear mixed model with latent response variable and ordinal manifest variable is developed, through its two components: the structural sub-model and the measure sub-model, which are complemented with a mul-tinominal logistic model to analyze the probability of belonging to a latent class. The model was applied to a dataset from the National Study of Youth and Religion (NSYR), in order to find latent classes in the religiosity construct and to describe their evolution. As a result, three latent classes were identified with different trajectories for each case.",2020-01-16
Pontificia Universidad Católica del Perú. Escuela de Posgrado,El Modelo de Respuesta Nominal: Aplicación a datos educacionales,"Rivera Espejo, José Manuel",Magíster en Estadística,"Tarazona Vargas, Enver Gerald","This thesis focuses its e orts on presenting and studying the Nominal Response Model
or NRM (Bock, 1972, 1997), in the context of the Item Response Theory (IRT). Simulation
studies are carried out to determine the quality of the recovery of the parameters of the
model, under the Classic (MML) and Bayesian (MCMC) aproach and  nally, the studied
model was applied to an random, representative and anonymous sample of 1641 teachers
from the Basic Regular Education modality of the english specialty, who were exposed to the
Reading-Comprehension sub-test of the \Concurso de Nombramiento 2015"".
Related to the simulation, we found the bayesian method is a good substitute for the
classic counterpart, because it recovers in a similarly satisfactory fashion the parameters of
the items; however, the main disadvantage was that the process was between 620 to 14; 100
times slower than the classical approach, despite the special emphasis on making the MCMC
processes parrallel.
Related to the results of the implementation of the model on real data, the NRM: (i) it
facilitates the recovery of a greater proportion of information available in the items, compared
to dichotomous response models (Bock, 1972; Thissen, 1976; Levine y Drasgow, 1983;
Thissen y Steinberg, 1984), (ii) it allows to  nd the implicit order in initially not ordered
categorical data (Samejima, 1988; Bock, 1997) and (iii) it provided relevant information for
the examination of the quality of an item (Thissen et al., 1989), specially in two fronts: (a) it
allowed the identi cation of useless or forced alternatives and (b) it allowed the identi cation
of alternatives that could be collapsed, given that these alternatives registered a similar topics.</td><td></td>
</tr>
<tr class=""ds-table-row even "">
<td class=""label-cell"">dc.description.abstract</td><td class=""word-break"">La presente tesis centra sus esfuerzos en presentar y estudiar el Modelo de Respuesta
Nominal o NRM por sus siglas en inglés (Bock, 1972, 1997), en el contexto de la Teoría de Respuesta al ítem (IRT, por sus siglas en inglés). Se realizaron estudios de simulación para determinar la calidad de la recuperación de los parámetros del modelo, bajo la metodología clásica (MML) y bayesiana (MCMC) y finalmente, se aplicó el modelo estudiado en una muestra anónima, aleatoria y representativa de 1641 docentes de la modalidad de Educación Básica Regular de la especialidad de inglés, que fueron expuestos a la sub-prueba de Compresión Lectora del Concurso de Nombramiento 2015.
En relación a la simulación, encontramos que el método bayesiano es un buen sustituto de su contraparte clásica, debido a que el mismo recupera de manera similarmente satisfactoria los parámetros de los ítems; sin embargo, la principal desventaja es que fue entre 620 a 14100 veces más lento que los métodos clásicos, pese a que se puso especial énfasis en hacer paralelos los procesos MCMC.
En relación a los resultados de la aplicación se tiene que el NRM: (i) facilita la recuperación de una mayor proporción información disponible en los ítems, frente a los modelos de respuestas dicotómicas (Bock, 1972; Thissen, 1976; Levine y Drasgow, 1983; Thissen y Steinberg, 1984), (ii) permite hallar el ordenamiento implícito en datos categóricos inicialmente no ordenados (Samejima, 1988; Bock, 1997) y (iii) brinda información relevante para la valoración de la calidad de un ítem (Thissen et al., 1989), especialmente en dos puntos: (a) les permitía identificar alternativas inservibles o forzadas y (b) les permita identificar alternativas que se podían colapsar, dado que estas alternativas registraban similar temática.",2019-07-17
Pontificia Universidad Católica del Perú. Escuela de Posgrado,El modelo de larga duración Weibull-Geométrica,"Torres Salinas, Karina Hesi",Magíster en Estadística,"Sal y Rosas Celi, Víctor Giancarlo","Los modelos de larga duración son una extensión de los modelos de supervivencia tradicional
y nos permiten modelar una proporción de la población que no llegan a experimentar
un evento de interés, incluso después de un largo periodo de seguimiento. En este trabajo
se presenta y deduce la distribución de larga duración Weibull-Geométrica y su proceso de estimación e inferencia. Se desarrolló un estudio de simulación con el un de evaluar el desempeño de las estimaciones y determinar si se recuperan los parámetros. Asimismo el modelo fue aplicado a una muestra de clientes que adquirieron y activaron una tarjeta de crédito
entre enero a diciembre del año 2015 y donde el principal objetivo del análisis era entender el
comportamiento del tiempo hasta la cancelación de la tarjeta de crédito del cliente. Comparamos
al modelo de larga duración Weibull-Geométrica con otros modelos de larga duración,
Exponencial-Geométrica y Weibull. Los resultados indican que nuestro modelo muestra un
mejor ajuste en los datos.",2019-03-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo G-DINA aplicado al diagnóstico de desórdenes mentales,"Villena Guzmán, Denisse",Magíster en Estadística,"Tarazona Vargas, Enver Gerald","Actualmente, uno de los modelos de diagnóstico cognitivo (MDC) más usados es el modelo
DINA. Sin embargo, este modelo presenta varias restricciones que hacen que en muchas
ocasiones, no sea el que mejor se ajusta a la realidad. En ese contexto, nace una generalización
del modelo DINA, denominado G-DINA (Generalized deterministic input, noisy and gate).
En el presente estudio se presentan los fundamentos y propiedades del modelo G-DINA y
su aplicación en un área en el que su uso todavía no es muy común: la psicología. Así, se
evaluaron los resultados de una muestra de pacientes de un hospital general de Lima a los
que se les aplicó el test SRQ-18 que evalúa la presencia de desórdenes mentales. Se muestra
el proceso de selección del mejor modelo para cada ítem, los resultados de los parámetros
obtenidos, los diagnósticos para los 10 primeros pacientes y una distribución de los perfiles
de estos pacientes. Finalmente se presenta un estudio de simulación que tiene por finalidad
estudiar el efecto del tamaño de muestra en la estimación de los parámetros en el contexto
de la aplicación de este estudio.",2019-02-11
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Análisis bayesiano de modelos de clases latentes para variables politómicas: Confianza hacia instituciones públicas,"Cruz Sarmiento, Marylía Paola",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","El modelo de análisis de clases latentes tiene como  finalidad describir una variable no observable a través del agrupamiento de los individuos en base a sus patrones de respuestas.
La estimación en este modelo se puede realizar mediante el algoritmo de Esperanza-Maximización (EM) y su desarrollo para el caso politómico se encuentra implementado en el paquete poLCA de R. Desde el punto de vista bayesiano, esta estimación ha sido hasta el momento implementada sólo para el caso de variables dicotómicas. En este trabajo, se busca
extender este  ultimo aporte para el caso politómico, haciendo uso del muestrador de Gibbs.
La aplicación del modelo de análisis de clases latentes, bajo el enfoque bayesiano aquí desarrollado, se realizó sobre un conjunto de datos reales relacionados con la con fianza hacia 21 instituciones públicas en una encuesta para Lima Metropolitana. En general, se identificaron tres grupos de encuestados seg un sus niveles de confianza institucional, los cuales se analizaron luego en relación a otras variables.",2019-02-11
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo secuencial con aplicación a la medición del rendimiento estudiantil,"Mejía Campos, Luis Ángel",Magíster en Estadística,"Tarazona Vargas, Enver Gerald","En este trabajo se presenta el Modelo Secuencial para datos politómicos ordinales de la
teoría de respuesta al ítem y sus características. De forma específi ca se estudia el Modelo
Secuencial Logístico de 2 parámetros (2PL-SM). La estimación de este modelo se realiza
utilizando Métodos de Cadenas de Markov de Montecarlo (MCMC), los cuales fueron implementados
en R y WinBUGS.
Se realizó un estudio de simulación con el objetivo de estudiar la precisión en la recuperación de parámetros observándose resultados apropiados según los índices de precisión
utilizados.
El Modelo Secuencial en estudio fue luego aplicado a la prueba de escritura de la Evaluación Muestral 2013 del Ministerio de Educación, evaluación que fue aplicada a una muestra
de 4327 estudiantes de sexto grado de primaria de todo el país. Con la aplicación del modelo a
la prueba se pudo determinar que en general esta contiene ítems cuyas di ficultades son bajas
y que, para los estudiantes, el enfrentarse a esta prueba no debería resultarles complicado.",2019-02-04
Pontificia Universidad Católica del Perú. Escuela de Posgrado,El modelo de larga duración Exponencial-Poisson,"Gonzales Rodriguez, Julia Elena",Magíster en Estadística,"Sal y Rosas Celi, Víctor Giancarlo","In this thesis the long-term survival model Exponential-Poisson will be introduced and
discussed. This model allows to study the time until the occurrence of an event of interest
when it is assumed that there is a fraction of the population that is immune to the occurrence
of this event. The studied model is a mixture model that assumes that the time to the event
among susceptible follows a Exponential-Poisson distribution and that the probability of
being inmune to the event of interes is explained by a set of covariates via a logistic regression
model. A simulation study was carried out in which the good performance of the model was
checked through the percentage bias and 95% coverage. Finally, the model is applied to a
sample of a Peruvian  nantial entity where the event of interest is the cancellation of the
debt.",2018-12-03
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo de regresión a la media simplex inflacionada para proporciones,"Chámpac Flores, Juan Carlos",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","El presente trabajo de tesis propone el modelo de regresión a la media simplex inflacionada,
que permite modelar variables aleatorias continuas limitadas en el intervalo cerrado [0; 1]
al considerar un conjunto de ecuaciones de regresión para estimar la media de la respuesta
y los parámetros que modelan las probabilidades de los valores extremos 0 y 1. Asimismo,
se desarrolla un estudio de simulación con el  fin de evaluar si el método propuesto permite
recuperar los parámetros del modelo desde el punto de vista de la estadística clásica. Por
otro lado, se desarrolla la aplicación del modelo para determinar el grado de dolarización
de empresas que registran deudas en el Sistema Financiero, y para evaluar el desempeño del
mismo, se compara contra el modelo de regresión a la media beta inflacionada. Los resultados
muestran un mejor ajuste del modelo propuesto en esta tesis.",2018-11-15
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelos de regresión gamma generalizada cero-inflacionada para la media con aplicación a gastos en educación,"Vásquez Beltrán, Aníbal Alcides",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","Cuando los valores posibles de una variable aleatoria son continuos y no negativos, incluyendo
el valor cero con probabilidad no nula, la variable es denominada semicontinua o
cero-in acionada y posiblemente sea pertinente suponer que presenta una distribución mixta
de probabilidades constituida por una distribución de Bernoulli para explicar si la respuesta
toma el valor cero o no y una distribución continua positiva para explicar si ésta última
no es cero. En el análisis de regresión, el modelo de dos partes (MDP) es tradicionalmente
usado para explicar una variable semicontinua. En el MDP la respuesta presenta este tipo
de distribución mixta y sus parámetros son expresados de tal manera que posibilite estimar
el efecto de un conjunto de covariables sobre la media de esta respuesta condicionada a que
tome valores positivos y sobre la probabilidad de que la respuesta tome el valor cero.
El objetivo de la tesis es estudiar un modelo alternativo al MDP, que llamaremos modelo
de regresión cero-in acionada a la media (MCIM), cuya parametrización permita estimar e
interpretar efectos de covariables sobre la media total de la respuesta, en lugar de la media
condicionada a valores positivos. Además, optamos por la distribución gamma generalizada
(MCIM-GG) para modelar ciertas características de los valores positivos de la respuesta, tales
como, por ejemplo, la asimetría positiva y la curtosis pronunciada. Estas características, junto
con el exceso de valores cero, son típicas en diferentes ejemplos de variables respuestas en la
Economía y la Medicina.
Los resultados del estudio de simulación muestran un adecuado desempeño de las estimaciones
de máxima verosimilitud del MCIM-GG bajo diferentes escenarios de nidos según
porcentajes de valores ceros de la respuesta y tamaños de muestra. Por último, los resultados
de la aplicación muestran que el MCIM-GG puede tener un mejor ajuste a los datos respecto
al MDP-GG, así como proporcionar una más directa interpretación de los efectos de ciertas
covariables sobre la media de los gastos en educación de adolescentes participantes del estudio
Niños del Milenio en el Perú.",2018-11-13
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo lineal mixto conjunto de clases latentes aplicado a un conjunto de datos longitudinales del sector salud,"Neciosup Vera, Carmen Stéfany",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","The joint latent class mixed model, proposed by Proust-Lima et al. (2015), allows to
jointly model a longitudinal process and a survival process, also calculating the probability
of belonging to certain latent classes in the study population. In our study, we describe the
components that make up this model (Proust-Lima et al. (2017)) and through a simulation
study we assesed the implementation of its estimation. The model is finally applied to a set of
longitudinal data of Prostate Cancer diagnosed patients allowing us to identify latent classes
that are then associated with the clinical stage of the patients.",2018-11-13
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Análisis de influencia bajo inferencia bayesiana en evaluaciones escolares de altas consecuencias,"Christiansen Trujillo, Andrés Guillermo",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","La presente investigación estudia una metodología para la detección de observaciones atípicas mediante un análisis de influencia bajo la perspectiva de la inferencia bayesiana. Se utiliza la medida de phi-divergencia y el estimador de Monte Carlo, derivado de ésta, trabajados previamente por Peng y Dey (1995), para el cálculo de las divergencias Kullback-Leibler, distancia rectilínea y ji-cuadrado. Además, en el presente trabajo se busca realizar este análisis de influencia en evaluaciones de altas consecuencias (evaluaciones cuyos resultados tienen un alto impacto en la vida de los estudiantes o docentes). El estudio de simulación revela que es posible recuperar observaciones previamente distorsionadas como atípicas. Finalmente, se aplica la metodología a una evaluación realizada por el Ministerio de Educación. Esta aplicación revela que la metodología estudiada es capaz de identificar escuelas con resultados no esperados dadas sus condiciones y resultados anteriores.",2018-07-30
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Inferencia bayesiana en el modelo de regresión beta rectangular,"Calderón Pozo, Francisco German",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","Se conoce que el modelo lineal normal no es apropiado para situaciones en la que la variable respuesta es una proporción que solo toma valores en un rango limitado (0; 1), pues, se pueden obtener valores ajustados para la variable de inter es que exceden sus límites inferior y superior.
Ante dicha situación, una propuesta es utilizar la distribución beta ya que es bastante flexible para modelar proporciones. Este modelo de regresión, sin embargo, puede ser influenciado por la presencia de valores atípicos o extremos. Debido a ello, se ha propuesto en la literatura, un modelo de mayor robustez llamado modelo de regresión beta rectangular, el cual permite una mayor incidencia de tales valores.
El objetivo general de la tesis es estudiar las propiedades, estimar y aplicar a un conjunto de datos reales el modelo de regresión beta rectangular desde el punto de vista de la estadística bayesiana.
Para cumplir con el objetivo planteado, se estudian las características y propiedades de las distribuciones beta y beta rectangular. Luego, se desarrolla el análisis bayesiano del modelo de regresión beta rectangular considerando las distribuciones a priori y a posteriori, los criterios de selección de modelos y simulaciones de Montecarlo v  a cadenas de Markov. También, se realizan estudios de simulación para demostrar que el nuevo modelo es m as robusto que el modelo de regresión beta. Adicionalmente, se presenta una aplicación para mostrar la utilidad del modelo de regresión beta rectangular.",2018-05-07
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Estimación bayesiana de efectos de red: el modelo Logit mixto,"Chahuara Vargas, Paulo Roberto",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","Los efectos o externalidades de red son factores que pueden condicionar las decisiones de contratación de los consumidores en favor de empresas ya establecidas y en contra de los nuevos competidores, pudiendo limitar la competencia efectiva y potencial de los mercados, en especial, en aquellas industrias donde el número de empresas es bajo y la entrada de nuevos competidores es poco frecuente. Por ello, es importante verificar su existencia y la magnitud de sus efectos sobre las decisiones de compra de los consumidores con el objetivo de justificar o establecer medidas que impulsen una competencia más equilibrada entre las empresas. Además, teniendo en consideración que los consumidores pueden tener cierto grado de heterogeneidad en sus comportamientos de adquisición, también resulta relevante estudiar el grado de diferenciación de los efectos de red entre los consumidores a fin de mejorar las políticas que fomenten la competencia. Este trabajo tiene por objetivo estimar un modelo logit mixto bajo el enfoque de la inferencia bayesiana, para estudiar empíricamente la existencia y heterogeneidad de los efectos de red sobre las decisiones de contratación de los consumidores en la industria de telefonía móvil peruana. El análisis se hace con base a una muestra que combina información de la Encuestas Residencial de Servicios de Telecomunicaciones (ERESTEL) del a˜no 2015 e información de las empresas operadoras del servicio de telefonía móvil. Los resultados de las estimaciones realizadas sugieren que los efectos de red tendrían un condicionamiento importante sobre las decisiones de contración del servicio de telefonía móvil, además de presentar un grado de heterogeneidad estadísticamente significativo en la magnitud de sus efectos.",2017-10-02
Pontificia Universidad Católica del Perú. Escuela de Posgrado,A beta inflated mean regression model with mixed effects for fractional response variables,"Fernández Villegas, Renzo",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","En este artículo proponemos un nuevo modelo de regresión con efectos mixtos para variables acotadas fraccionarias. Este modelo nos permite incorporar covariables directamente al valor esperado, de manera que podemos cuantificar exactamente la influencia de estas covariables en la media de la variable de interés en vez de en la media condicional. La estimación se llevó a cabo desde una perspectiva bayesiana y debido a la complejidad de la distribución aumentada a posteriori usamos un algoritmo de Monte Carlo Hamiltoniano, el muestreador No-U-Turn, que se encuentra implementado en el software Stan. Se realizó un estudio de simulación que compara, en términos de sesgo y RMSE, el modelo propuesto con otros modelos tradicionales longitudinales para variables acotadas, resultando que el primero tiene un mejor desempeño. Finalmente, aplicamos nuestro modelo de regresión Beta Inflacionada con efectos mixtos a datos reales los cuales consistían en información de la utilización de las líneas de crédito en el sistema financiero peruano.",2017-06-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo Dina aplicado a la evaluación de matemática en estudiantes de segundo grado de secundaria,"Sosa Paredes, Yuriko Kirilovna",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","Los modelos de diagnóstico cognitivo (MDC) tienen como finalidad describir o diagnosticar el comportamiento de los evaluados por medio de clases o perfiles latentes, de tal manera que se obtenga información más específica acerca de las fortalezas y debilidades de ellos.

Uno de los modelos más populares de esta gran familia es el llamado modelo DINA, el cual tuvo su primera aparición en Haertel (1989) enfocado principalmente en el campo educacional. Este modelo considera solo respuestas observadas dicotómicas de parte de los individuos y tiene como restricción principal que ellos deben dominar necesariamente todas las habilidades requeridas por cada ítem; aquellas que se resumen en una matriz llamada Q. Asimismo, el modelo estima parámetros para los ítems, los cuales son denominados de \ruido"": Adivinación y Desliz.

En este trabajo desarrolla teóricamente el modelo expuesto; es decir, sus fundamentos y principales propiedades desde el enfoque bayesiano. Específicamente, las estimaciones se realizan mediante el Muestreador de Gibbs.

Se realizaron 8 estudios de simulación, cada uno de ellos con tres diferentes tamaños de población, donde se probaron combinaciones de los parámetros en estudio con el fin de comparar la recuperación de parámetros mediante el enfoque clásico y el bayesiano. El análisis de ambos enfoques se realizó con rutinas de código del software libre R, usando los paquetes CDM y dina para el enfoque clásico y el bayesiano, respectivamente.

En líneas generales, los resultados muestran estimaciones insesgadas y con valores pequeños de la raíz del error cuadrático medio (RMSE) para ambos enfoques. Incluso, conforme el tamaño de la población incrementa, las estimaciones no tienen mayores diferencias. Aunque en tamaños de población más pequeños el enfoque bayesiano obtiene ligeras ventajas con respecto al otro, especialmente en el parámetro de probabilidad de pertenencia a las clases (π). Además, es necesario mencionar que los parámetros de ruido de los ítems son estimados más precisamente con el enfoque clásico en varios de los estudios. 

Finalmente, se presenta una aplicación enfocada en educación, donde se analiza una muestra de 3040 alumnos del 2do grado de secundaria, evaluados en una prueba de 48 ítems de la competencia matemática realizada por la Oficina de Medición de la Calidad de los Aprendizajes (UMC) en el 2015. A esta prueba se le aplica el modelo de Rasch y el modelo DINA bajo el enfoque bayesiano, con el _n de estudiar la correspondencia entre indicadores de ambos modelos, tanto para los parámetros de los alumnos (habilidad y per_les latentes) como de los ítems (dificultad y parámetros de ruido).",2017-05-31
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Estimation of the disease prevalence when diagnostic tests are subject to classification error: bayesian approach,"Gutiérrez Ayala, Evelyn Patricia",Magíster en Estadística,"Sal y Rosas Celi, Víctor Giancarlo","La estimación de la prevalencia de una enfermedad, la cual es definida como el número de casos con la enfermedad en una población dividida por el número de elementos en ésta, es realizado con gran precisión cuando existen pruebas 100% exactas, también llamadas gold standard. Sin embargo, en muchos casos, debido a los altos costos de las pruebas de diagnóstico o limitaciones de tecnología, la prueba gold standard no existe y debe ser reemplazada por una o más pruebas diagnósticas no tan caras pero con bajos niveles de sensibilidad o especificidad. Este estudio está enfocado en el estudio de dos enfoques bayesianos para la estimación de prevalencia cuando no es factible tener resultados de una prueba 100% exacta.
El primero es un modelo con dos parámetros que toman en cuenta la asociación entre los
resultados de las pruebas. El segundo es un enfoque que propone el uso del Bayesian Model Averaging para combinar los resultados de cuatro modelos donde cada uno de estos tiene suposiciones diferentes sobre la asociación entre los resultados de las pruebas diagnósticas.
Ambos enfoques son estudiados mediante simulaciones para evaluar el desempeño de estos bajo diferentes escenarios. Finalmente estas técnicas serán usadas para estimar la prevalencia de enfermedad renal crónica en el Perú con datos de un estudio de cohortes de CRONICAS (Francis et al., 2015).",2017-02-02
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelos de teoría de respuesta al ítem multidimensional con una aplicación psicológica,"Malaspina Quevedo, Martín Ludgardo",Magíster en Estadística,"Bazán Guzmán, Jorge Luis","La presente investigación, dentro del contexto de la Teoría de Respuesta al Ítem (TRI), estudia un modelo multidimensional logístico compensatorio de dos parámetros (M2PL) para ítems dicotómicos. Para ello, se explican teóricamente los métodos de estimación más conocidos para los parámetros de los ítems y de los rasgos latentes de las personas, priorizando el método bayesiano mediante Cadenas de Markov de Monte Carlo (MCMC). Estos métodos de estimación se exploran mediante implementaciones computacionales con el software R y R2WinBUGS. La calidad de las respectivas estimaciones de los parámetros se analiza mediante un estudio de simulación, en el cual se comprueba que el método de estimación más robusto para el modelo propuesto es el bayesiano mediante MCMC. Finalmente, el modelo y el método de estimación elegidos se ilustran mediante una aplicación que usa un conjunto de datos sobre actitudes hacia la estadística en estudiantes de una universidad privada de Colombia.",2016-11-23
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Combinación de reglas de portafolio con la asignación 1/N y la ponderada por capitalización bursátil,"Rodríguez Alcócer, Augusto Fernando",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","La teoría del portafolio estudia el proceso a través del cual se realiza la asignación óptima de activos. El análisis Media - Varianza (MV) propone que los agentes estructuran portafolios de inversión optimizando el retorno esperado o el riesgo. Así, fijando el nivel deseado de una de estas variables, es posible elaborar una frontera eficiente compuesta por portafolios óptimos. Sin embargo, si bien el análisis MV ha sido trabajado de manera extensa presenta una limitación: los parámetros reales no son conocidos sino estimados a partir de la observación de datos. Ello incorpora el problema de incertidumbre en la modelación, por lo que las reglas de portafolio óptimo están sujetas a errores aleatorios que pueden generar que los parámetros estimados se alejen de los reales. El objetivo del presente trabajo es revisar dicho análisis bajo el enfoque de reglas de portafolio, y si existe la posibilidad de reducir el riesgo de estimación a través de la combinación de las reglas con el portafolio de pesos iguales y con el portafolio ajustado por capitalización bursátil. Para la programación se utiliza el paquete estadístico R - project. Los resultados sugieren que la combinación de las reglas con los dos portafolios seleccionados puede mejorar los resultados fuera de muestra esperados y que bajo ciertas circunstancias, combinar con el portafolio de capitalización bursátil puede ser más eficiente que con el portafolio de pesos iguales.",2016-11-23
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Estudio de tres propuestas de distribución skew-t,"Kantor Benavides, Alejandro",Magíster en Estadística,"Bayes Rodríguez, Cristian Luis","Este trabajo compara tres distribuciones skew-t. En particular, las propuestas por Branco y Dey (2001) y Azzalini y Capitanio (2003), Fernández y Steel (1998), y Jones y Faddy (2003).
Se analiza la relación entre los parámetros y el nivel de asimetría a través de la medida de Patil et al. (2014). Se propone una nueva parametrización de la distribución skew-t de Jones y Faddy (2003) que modela mejor la asimetría. Las distribuciones son ajustadas a datos reales basados en el retorno logarítmico de la tasa de cambio de PEN a USD.",2016-06-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelo de regresión de clases latentes: factores asociados a la valoración de una universidad privada,"Wiener Ramos, Lucia",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","En diversos campos de análisis, especialmente en las ciencias sociales y humanas, se identifican constructos teóricos a los cuales queremos aproximarnos pero que no son directamente observables ni medibles, como por ejemplo, la calidad o satisfacción con un servicio, el nivel de  estrés, el nivel de conocimiento en matemáticas, entre otras. Este tipo de constructos son llamados variables latentes y su valor solo puede ser aproximado a través de variables observadas o manifiestas que si pueden ser medidas (Bartholomew et al., 2011).
En el Capítulo 2 se presenta consideraciones generales acerca del modelo lineal general de variables latentes y el modelo de clases latentes. En el Capítulo 3 se estudian los modelos de regresión de clases latentes, la estimación de sus parámetros y su implementación computacional. En el Capítulo 4 se presenta los resultados de la aplicación del modelo a un conjunto de datos reales orientados a conocer la valoración de una universidad privada. En el Capítulo 5 se presenta algunas conclusiones, recomendaciones y futuras extensiones que se podrían derivar de este trabajo.",2016-06-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado,An application of discrete time survival models to analyze student dropouts at a private university in Peru,"Pebes Trujillo, Miguel Raúl",Magíster en Estadística,"Sal y Rosas Celi, Víctor Giancarlo","Discrete-time survival models are discussed and applied to the study of which factors
are associated with student dropouts at a private university in Lima, Per_u. We studied the characteristics of 26; 790 incoming students enrolled between 2004 and 2012 in all the under-graduate programs at the University. The analysis include the estimation of the survival and hazard functions using the Kaplan-Meier method and the _tting of parametric models using the Cox proportional hazards regression and the Logistic regression for survival analysis, this last one, in order to include time varying variables as predictors. During the period of analysis, the cumulative probability of remain at the University after _ve years was 73.7% [95% CI: 73.1% - 74.4%]. In any period the hazard is greater than 4.4% and this highest value is reached in the 3rd semester. In a multivariate analysis, we found that academic factors (area of study, type of admission, standardized academic performance index, and the percentage of passed credits); economic factors (type of residence, and payment scale); and sociodemographic factors (mother education level, indicators of whether or not parents are alive, and the age of the student) were associated with the risk of dropout.",2016-06-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Una aplicación de la regresión de Cox con puntos de cambio en las covariables,"Trujillo Angeles, Lucía Inés",Magíster en Estadística,"Doig Camino, Elizabeth","El siguiente trabajo de tesis, estudiará el modelo de regresión de Cox con puntos de cambio en las covariables propuesto por Jensen y Lutkebohmert (2008), realizando el desarrollo y la aplicación para una base de líneas móviles postpago. El objetivo es obtener los parámetros de las covariables y el nuevo parámetro en el modelo que es el punto de cambio, para analizar la manera como estas covariables tienen influencia en la desactivación de una línea a solicitud del cliente.",2016-06-20
Pontificia Universidad Católica del Perú. Escuela de Posgrado,Modelos Chain Ladder estocásticos y aplicaciones al cálculo de reservas en compañías de seguros,"Mazuelos Vizcarra, Gisella Gabriela",Magíster en Estadística,"Valdivieso Serrano, Luis Hilmar","El presente documento tiene por objetivo profundizar en el estudio de los m´etodos univariados
y multivariados del modelo Chain Ladder para la estimaci´on de las reservas de una
compa˜n´ıa de seguros. Se presenta de manera te´orica y aplicativa tanto los m´etodos univariados
Chain Ladder determin´ıstico como Chain Ladder estoc´astico. Si bien el primero de
estos m´etodos es el m´as utilizado por las compa˜n´ıas de seguro dada su simplicidad de c´alculo
y carencia de supuestos probabil´ısticos, el segundo, propuesto por Mack (1993), permite la
construcci´on de intervalos de confianza para las reservas, lo cu´al es de invalorable ayuda para
los investigadores.
Asimismo, desarrollamos el modelo General Multivariado Chain Ladder, el cual tiene
como premisa b´asica analizar la posible relaci´on que pueda existir entre diversos tri´angulos
de desarrollo, dotando as´ı de otra herramienta para mejorar las inferencias y predicciones de
las reservas.
Estos m´etodos han sido desarrollados y aplicados sobre la base de datos de 3 tipos de
seguros de salud, mostrando as´ı las ventajas y desventajas de cada uno de ellos en diferentes
escenarios y proporcionando distintos instrumentos para la toma de decisiones relacionados
en el cumplimiento de las obligaciones futuras de las compa˜nias de seguros.",2015-07-20
